Question,Answer,Reference
What was Alphabet's total revenue for 2023?,$307.4 billion,2023q4-alphabet
What was Alphabet's total revenue for 2024?,$350.0 billion,2024q4-alphabet
What was Amazon's total revenue for 2023?,$575 billion,Amazon-2023
What was Amazon's total revenue for 2024?,$638 billion,Amazon-2024
What was Freshworks' total revenue for 2023?,$596.4 million,Freshworks-2023
What was Freshworks' total revenue for 2024?,$720.4 million,Freshworks-2024
What was Alphabet's net income in 2024?,$100.1 billion,2024q4-alphabet
What was Amazon's operating income for 2024?,$68.6 billion,Amazon-2024
What was Freshworks' non-GAAP income from operations in 2024?,$99.1 million,Freshworks-2024
What was Alphabet's operating margin for 2024?,32%,2024q4-alphabet
What was Amazon's operating margin for 2024?,10.8%,Amazon-2024
What was Alphabet's diluted EPS in 2024?,$8.04,2024q4-alphabet
What was Freshworks' GAAP net loss per share for 2024?,$(0.32),Freshworks-2024
How much did Google Cloud generate in revenue for 2024?,$12.0 billion,2024q4-alphabet
What was AWS revenue in 2024?,$108 billion,Amazon-2024
What was Freshworks’ net dollar retention rate in Q4 2024?,103%,Freshworks-2024
How many employees did Alphabet have at the end of 2024?,"183,323",2024q4-alphabet
What was Amazon’s free cash flow for 2024?,$36.2 billion,Amazon-2024
What was Freshworks’ adjusted free cash flow for 2024?,$153.3 million,Freshworks-2024
How much did Alphabet pay in total dividends in Q4 2024?,$2.4 billion,2024q4-alphabet
What was Alphabet's revenue from Google Services in Q4 2024?,$84.1 billion,2024q4-alphabet
What was Alphabet's revenue from YouTube ads in Q4 2024?,$10.5 billion,2024q4-alphabet
What was Amazon's North America revenue for 2024?,$387 billion,Amazon-2024
What was Amazon's International revenue for 2024?,$143 billion,Amazon-2024
"How many customers contributed over $5,000 in ARR for Freshworks in 2024?","22,558",Freshworks-2024
What was Alphabet's net income for 2023?,$73.8 billion,2023q4-alphabet
What was Amazon's advertising revenue for 2023?,$47 billion,Amazon-2023
Who is the CEO of Alphabet?,Sundar Pichai,2023q4-alphabet
Who is the CEO of Amazon?,Andy Jassy,Amazon-2024
Who is the CEO of Freshworks?,"Dennis Woodside (2024), Girish Mathrubootham (2023)",Freshworks-2024;Freshworks-2023
What was Alphabet's net income growth year-over-year in 2024?,28%,2024q4-alphabet
What was Alphabet's operating income in Q4 2024?,$31.0 billion,2024q4-alphabet
What was Amazon’s GAAP operating income in 2023?,$36.9 billion,Amazon-2023
What was Freshworks’ non-GAAP net income per share for 2024?,$0.43,Freshworks-2024
What was Freshworks’ net cash provided by operating activities in 2024?,$160.6 million,Freshworks-2024
What was Amazon’s AWS revenue growth YoY in 2024?,19%,Amazon-2024
What is Amazon’s fastest growing business segment in 2024?,AWS (Cloud),Amazon-2024
What was Alphabet’s Other Bets revenue in Q4 2024?,$400 million,2024q4-alphabet
What was Alphabet’s total TAC in Q4 2024?,$14.8 billion,2024q4-alphabet
What was Freshworks’ adjusted free cash flow in Q4 2024?,$41.7 million,Freshworks-2024
What was Alphabet’s YouTube ads revenue in 2023?,$9.2 billion,2023q4-alphabet
What was Freshworks’ net dollar retention rate in Q4 2023?,108%,Freshworks-2023
What was Amazon’s same or next-day delivery record for Prime in 2023?,Over 7 billion items,Amazon-2023
"What was Freshworks’ cash, cash equivalents, and marketable securities as of Dec 31, 2024?",$1.07 billion,Freshworks-2024
What was Alphabet’s change in operating margin from 2023 to 2024?,From 27% to 32%,2024q4-alphabet
What new hardware products did Amazon launch in 2024?,"New Kindle devices (color, Scribe, Paperwhite)",Amazon-2024
Name a new strategic agreement Freshworks announced in 2024.,Unisys,Freshworks-2024
What was Amazon’s total revenue growth YoY in 2024?,11%,Amazon-2024
What was Alphabet's Google Cloud operating income for 2024?,$2.1 billion,2024q4-alphabet
What was Freshworks' non-GAAP net income per share in Q4 2024?,$0.14,Freshworks-2024
Who was appointed Chief Product Officer at Freshworks in 2024?,Srinivasan Raghavan,Freshworks-2024
What is the capital of France?,Data not in scope,
Who is Batman?,Data not in scope,
What was the company’s free cash flow margin for Freshworks in Q4 2024?,21%,Freshworks-2024
What was Alphabet’s employee count at year-end 2023?,"182,502",2023q4-alphabet
